drag,sent_time_ns,recv_time_ns,latency,currentThrust,currentTimestep,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
24696789.56225315,351179175425200,351179222941500,47516300,123191000.0,54,30628.52738619129,5028369.423222403,838061.5705370685,6297430.993759478,36457322.88124059,5.761216808946851,5.761216808946851,306.5369448794185,306.5369448794185,8580.877943568725,70.40585523192392
24706731.076022044,351179313924100,351179377467700,63543600,123191000.0,55,30628.52738619129,5002116.399748525,833686.0666247555,6266802.466373287,36716412.38896637,5.830379471462407,5.830379471462407,312.3673243508809,312.3673243508809,8893.245267919605,70.19553994288027
24685303.170183133,351179474698800,351179476931700,2232900,123191000.0,56,30628.52738619129,4975863.376274646,829310.5627124425,6236173.938987096,37006936.728856005,5.905234276559637,5.905234276559637,318.2725586274405,318.2725586274405,9211.517826547046,69.95970750391182
24632584.607294645,351179629004500,351179724318000,95313500,123191000.0,57,30628.52738619129,4949610.352800768,824935.0588001295,6205545.411600905,37328830.488353446,5.985854604693169,5.985854604693169,324.25841323213365,324.25841323213365,9535.77623977918,69.69841101350468
24548666.519554257,351179800345800,351179832364600,32018800,123191000.0,58,30628.52738619129,4923357.3293268895,820559.5548878164,6174916.884214713,37682014.90490048,6.072313133742628,6.072313133742628,330.3307263658763,330.3307263658763,9866.106966145057,69.4117144069774
24433652.179808944,351179973781700,351180004381500,30599800,123191000.0,59,30628.52738619129,4897104.305853011,816184.0509755034,6144288.356828522,38066398.8462994,6.164681980353562,6.164681980353562,336.49540834622985,336.49540834622985,10202.602374491285,69.09969166067374
24287657.52915899,351180129352600,351180191718800,62366200,123191000.0,60,30628.52738619129,4870851.282379133,811808.5470631904,6113659.829442331,38481879.03970325,6.2630327232178145,6.2630327232178145,342.75844106944766,342.75844106944766,10545.360815560733,68.7624266060806
24187477.39239261,351180317777100,351180363142600,45365500,123191000.0,61,30628.52738619129,4844598.258905254,807433.0431508773,6083031.302056139,38928339.54401174,6.367436303298979,6.367436303298979,349.12587737274663,349.12587737274663,10869.486692933478,68.40001335810916
23845013.667962015,351180505154700,351180567450600,62295900,123191000.0,62,30628.52738619129,4818345.235431376,803057.5392385643,6052402.774669948,39328985.53443666,6.46535971648592,6.46535971648592,355.59123708923255,355.59123708923255,11225.077930022711,68.07478993235166
23371449.707243104,351180690485300,351180706057200,15571900,123191000.0,63,30628.52738619129,4792092.2119574975,798682.0353262513,6021774.247283757,39971915.11252579,6.604305199219917,6.604305199219917,362.1955422884525,362.1955422884525,11587.273472311164,67.55289338301841
22887865.196009506,351180862818300,351180878966500,16148200,123191000.0,64,30628.52738619129,4765839.188483619,794306.5314139383,5991145.719897565,40745944.92690323,6.766435149122788,6.766435149122788,368.9619774375753,368.9619774375753,11956.23544974874,66.92457653001986
22394559.180525392,351181097786300,351181129656400,31870100,123191000.0,65,30628.52738619129,4739586.165009741,789931.0275016252,5960517.192511374,42323767.160938025,7.100687036707555,7.100687036707555,382.99455984679355,382.99455984679355,12715.123882405618,65.64378310027679
21891879.28201176,351181251267400,351181282099800,30832400,123191000.0,66,30628.52738619129,4713333.141535862,785555.5235893122,5929888.665125183,43126912.9131102,7.272803141608354,7.272803141608354,390.2673629884019,390.2673629884019,13105.39124539402,64.99183145431874
21380222.526702546,351181425627600,351181457461900,31834300,123191000.0,67,30628.52738619129,4687080.118061984,781180.0196769992,5899260.1377389915,43939035.52207795,7.448228166950857,7.448228166950857,397.71559115535274,397.71559115535274,13503.106836549372,64.33259286629871
20860035.98558495,351181613122600,351181661344000,48221400,123191000.0,68,30628.52738619129,4660827.094588106,776804.5157646862,5868631.6103528,44759687.91685408,7.626937740970812,7.626937740970812,405.34252889632353,405.34252889632353,13908.449365445696,63.6664302450227
20331817.187464,351181770530900,351181847177100,76646200,123191000.0,69,30628.52738619129,4634574.071114227,772429.0118523731,5838003.082966609,45588372.568633564,7.808898337454734,7.808898337454734,413.15142723377824,413.15142723377824,14321.600792679475,62.99374745830981
19253525.82043228,351181989825300,351182004823000,14997700,123191000.0,71,30628.52738619129,4608321.047640349,768053.5079400601,5807374.555580418,46424541.34135892,7.994067008601794,7.994067008601794,421.14549424238004,421.14549424238004,14742.746286921856,62.31498945429542
18704700.403041333,351182177227700,351182191327800,14100100,123191000.0,72,30628.52738619129,4582068.02416647,763678.0040277471,5776746.028194226,47267595.64298236,8.182391161440398,8.182391161440398,429.32788540382046,429.32788540382046,15172.074172325676,61.63064213864457
18150335.681765046,351182379708100,351182394468200,14760100,123191000.0,73,30628.52738619129,4529561.977218714,754926.996203121,5715488.973421844,48116886.91403184,8.373808385795368,8.373808385795368,437.70169378961583,437.70169378961583,15609.775866115291,60.94123197795957
17591177.16045337,351182536205200,351182565876100,29670900,123191000.0,74,30628.52738619129,4503308.953744835,750551.492290808,5684860.446035652,48971717.48896666,8.568246341948143,8.568246341948143,446.269940131564,446.269940131564,16056.045806246855,60.24732530057662
17028016.476187088,351182690796100,351182738162000,47365900,123191000.0,75,30628.52738619129,4477055.930270957,746175.988378495,5654231.918649461,49831341.86393688,8.765622716154247,8.765622716154247,455.03556284771827,455.03556284771827,16511.081369094572,59.54952726746526
16461689.22956113,351182800308200,351182815939800,15631600,123191000.0,76,30628.52738619129,4450802.906797078,741800.484466182,5623603.39126327,50694968.40186169,8.96584525205864,8.96584525205864,464.0014080997769,464.0014080997769,16975.082777194348,58.84848048813493
15893072.327556523,351182957870000,351183003477400,45607400,123191000.0,77,30628.52738619129,4424549.8833232,737424.9805538689,5592974.8638770785,51561761.50214619,9.168811865760595,9.168811865760595,473.17021996553746,473.17021996553746,17448.252997159885,58.14486325937269
15323080.821756296,351183113272900,351183144790600,31517700,123191000.0,78,30628.52738619129,4398296.859849322,733049.4766415559,5562346.336490887,52430844.25780934,9.374410851806335,9.374410851806335,482.5446308173438,482.5446308173438,17930.79762797723,57.439387408325814
14752664.231180832,351183268750600,351183300299800,31549200,123191000.0,79,30628.52738619129,4372043.836375443,728673.9727292429,5531717.809104696,53301301.61726809,9.582521186714569,9.582521186714569,492.12715200405836,492.12715200405836,18422.924779981287,56.73279572593121
14182802.346509444,351183442005000,351183471813100,29808100,123191000.0,80,30628.52738619129,4345790.812901565,724298.4688169298,5501089.281718505,55042511.79983203,10.005747767583424,10.005747767583424,511.92591270739564,511.92591270739564,19436.770857628497,55.319372519232715
13048784.461559374,351183644077800,351183673269600,29191800,123191000.0,82,30628.52738619129,4319537.7894276865,719922.9649046168,5470460.754332313,55911279.47913677,10.220579580039583,10.220579580039583,522.1464922874352,522.1464922874352,19958.917349915933,54.614152430667204
12486694.54717993,351183814963900,351183846604600,31640700,123191000.0,83,30628.52738619129,4267031.74247993,711171.9570799908,5409203.699559931,56777461.39209917,10.43735523879816,10.43735523879816,532.5838475262334,532.5838475262334,20491.501197442165,53.911031331753804
11929279.704757616,351183987554100,351184002120000,14565900,123191000.0,84,30628.52738619129,4240778.719006051,706796.4531676777,5378575.172173739,57640017.160137154,10.655915428887711,10.655915428887711,543.2397629551211,543.2397629551211,21034.740960397285,53.21085374732151
11377590.892657902,351184174946300,351184205408700,30462400,123191000.0,85,30628.52738619129,4214525.695532173,702420.9492553647,5347946.644787548,58497897.856217995,10.876095617080722,10.876095617080722,554.1158585722019,554.1158585722019,21588.856818969485,52.51447114138371
10832674.245581256,351184300318300,351184329948900,29630600,123191000.0,86,30628.52738619129,4188272.6720582945,698045.4453430517,5317318.117401357,59350052.52197625,11.097727121085365,11.097727121085365,565.2135856932872,565.2135856932872,22154.070404662772,51.822736626883255
10295563.94874058,351184437948900,351184469484000,31535100,123191000.0,87,30628.52738619129,4162019.648584416,693669.9414307387,5286689.5900151655,60195435.02271144,11.320638279232716,11.320638279232716,576.53422397252,576.53422397252,22730.604628635294,51.1364994011645
