,currentTimestep,currentTime,totalTimestepsRun,versions,sent_time_ns,recv_time_ns,latency,currentThrust,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,pressure,temperature,density
28,29,29,29,1,220161305207100,220161322091700,16884600,123191000.0,14721676.217083063,30628.52738619129,5684695.010069363,947449.1683448942,7063144.178414261,39179879.39267303,5.547087586348728,5.547087586348728,175.62526687311137,175.62526687311137,2740.471028320978,68.19582648677823,72.54497980212557,-2.745656973803147,0.9352839147821412
29,30,30,30,1,220161478597600,220161526112600,47515000,123191000.0,15419056.754360065,30628.52738619129,5658441.986595484,943073.6644325812,7032515.65102807,38782964.709054574,5.514806739660077,5.514806739660077,181.14007361277146,181.14007361277146,2921.6111019337495,68.51802103314806,70.90223414107264,-3.921256051550035,0.9180970872828481
30,31,31,31,1,220161682240700,220161728051000,45810300,123191000.0,16101192.290891014,30628.52738619129,5632188.963121606,938698.1605202681,7001887.123641878,38401295.02618215,5.484420749446266,5.484420749446266,186.62449436221772,186.62449436221772,3108.2355962959673,68.82784048657601,69.24138629074538,-5.132449019960831,0.9006436657485767
31,32,32,32,1,220161868678700,220161884066000,15387300,123191000.0,16766045.267046994,30628.52738619129,5605935.939647728,934322.6566079551,6971258.596255687,38036907.90368471,5.456246871133802,5.456246871133802,192.08074123335152,192.08074123335152,3300.316337529319,69.12363086290013,67.56502152848525,-6.379053030565281,0.882946210227832
32,33,33,33,1,220162055196000,220162085836200,30640200,123191000.0,17411742.67147129,30628.52738619129,5579682.916173849,929947.1526956421,6940630.068869496,37691676.35291896,5.430584252282194,5.430584252282194,197.5113254856337,197.5113254856337,3497.8276630149526,69.40387174962542,65.87568657927822,-7.660901532967042,0.865027098490255
33,34,34,34,1,220162274703900,220162290392900,15689000,123191000.0,18638992.125252523,30628.52738619129,5553429.892699971,925571.6487833291,6910001.541483304,37367310.08330337,5.407713711635741,5.407713711635741,202.91903919726946,202.91903919726946,3700.746702212222,69.66717529421518,64.17588426753134,-8.977846097357322,0.8469084829371208
34,35,35,35,1,220162433073900,220162481094500,48020600,123191000.0,19217600.642246768,30628.52738619129,5527176.8692260925,921196.144871016,6879373.014097113,37065358.6064548,5.3878977823271095,5.3878977823271095,208.30693697959657,208.30693697959657,3909.0536391918185,69.91228368431558,62.46806881335998,-10.329758118354903,0.8286122527534509
35,37,37,37,1,220162635191500,220162665286600,30095100,123191000.0,19771155.761537887,30628.52738619129,5474670.822278336,912445.13704639,6818115.959324731,36534126.6774865,5.358390337659329,5.358390337659329,219.0367083075235,219.0367083075235,4341.768665469206,70.34350993377234,60.75464174867661,-11.716530401979323,0.810160001139788
36,38,38,38,1,220162772851900,220162834418000,61566100,123191000.0,20298555.18363142,30628.52738619129,5448417.798804457,908069.633134077,6787487.431938539,36307193.1090515,5.349135961299599,5.349135961299599,224.3858442688231,224.3858442688231,4566.154509738029,70.52772271590335,59.037948423055454,-13.138078638895148,0.7915729974161634
37,39,39,39,1,220162912181200,220162958958100,46776900,123191000.0,20798830.883725177,30628.52738619129,5422164.775330579,903694.1292217639,6756858.904552348,36107383.26261629,5.343811935793036,5.343811935793036,229.72965620461613,229.72965620461613,4795.884165942645,70.68991788148786,57.32027506509482,-14.594342768199812,0.7728721637534371
38,40,40,40,1,220163037805200,220163038712300,907100,123191000.0,21271140.468735974,30628.52738619129,5395911.7518567005,899318.6253094509,6726230.377166157,35935539.53126402,5.342597192813384,5.342597192813384,235.0722533974295,235.0722533974295,5030.956419340075,70.82941161995274,53.89082351571921,-17.610907161517083,0.7352108501095093
39,42,42,42,1,220163162715200,220163226234900,63519700,123191000.0,22129065.237845734,30628.52738619129,5343405.704908944,890567.6174848248,6664973.322393774,35792387.744114056,5.345656529037832,5.345656529037832,240.41790992646733,240.41790992646733,5271.374329266542,70.94561474124404,52.18330273966945,-19.17121939693986,0.7162903284487281
40,43,43,43,1,220163320038400,220163335793100,15754700,123191000.0,22513541.177216664,30628.52738619129,5317152.681435065,886192.1135725118,6634344.795007583,35678546.46947134,5.35314167719086,5.35314167719086,245.77105160365818,245.77105160365818,5517.145380870201,71.03802512401771,50.483314144931086,-20.7662735218476,0.6973358746757106
41,44,44,44,1,220163492270200,220163524154800,31884600,123191000.0,22867753.857981943,30628.52738619129,5290899.657961187,881816.6096601988,6603716.267621391,35540789.5566522,5.381937702398248,5.381937702398248,256.51818172272795,256.51818172272795,6024.799806613258,71.14984896895699,48.79282098268803,-22.396147745539544,0.6783664678469452
42,45,45,45,1,220163646801300,220163662807000,16005700,123191000.0,23191350.74578056,30628.52738619129,5264646.634487309,877441.1057478858,6573087.7402352,35517658.52251212,5.403496792702362,5.403496792702362,261.9216785154303,261.9216785154303,6286.721485128688,71.16862553067016,47.113719195734966,-24.060950744920042,0.659400680832774
43,46,46,46,1,220163837202400,220163868937500,31735100,123191000.0,23484050.094887048,30628.52738619129,5238393.61101343,873065.6018355727,6542459.212849009,35525425.027064174,5.429980359265261,5.429980359265261,267.35165887469554,267.35165887469554,6554.073144003383,71.16232108915085,45.447837239982505,-25.760822438485185,0.6404566809127926
44,47,47,47,1,220164005651200,220164037479900,31828700,123191000.0,23745632.61969813,30628.52738619129,5212140.587539552,868690.0979232597,6511830.685462818,35564308.35591163,5.461491564162798,5.461491564162798,272.8131504388583,272.8131504388583,6826.886294442242,71.13075763983437,43.796936136119584,-27.495934704581956,0.621552232489172
45,48,48,48,1,220164147307900,220164210815200,63507300,123191000.0,23975933.661623504,30628.52738619129,5185887.564065673,864314.5940109467,6481202.158076626,35634473.167644784,5.498127091011729,5.498127091011729,278.31127752987004,278.31127752987004,7105.197571972112,71.07380152150337,42.16270971342952,-29.266492050930147,0.6027047016066841
46,49,49,49,1,220164288708400,220164305003600,16295200,123191000.0,24174835.91409599,30628.52738619129,5159634.540591795,859939.0900986337,6450573.630690435,35736036.76883084,5.53997811897015,5.53997811897015,283.8512556488402,283.8512556488402,7389.048827620953,70.99135751083209,40.54678500956126,-31.072732242099008,0.5839310619783212
47,51,51,51,1,220164507530300,220164521971500,14441200,123191000.0,24478172.22991886,30628.52738619129,5133381.517117917,855563.5861863206,6419945.103304244,35869075.780947484,5.587131229905103,5.587131229905103,289.4383868787453,289.4383868787453,7678.487214499698,70.88336341051905,37.37601816920981,-34.79338202210304,0.5466714340633245
48,52,52,52,1,220164696649100,220164757483800,60834700,123191000.0,24582551.70249095,30628.52738619129,5107128.493644038,851188.0822740076,6389316.575918052,36033632.16032504,5.639669240390946,5.639669240390946,295.07805611913625,295.07805611913625,7973.565270618834,70.74978516261329,35.82410126098543,-36.708438606316236,0.5282175011404936
49,53,53,53,1,220164881046800,220164896156300,15109500,123191000.0,24655413.21632039,30628.52738619129,5080875.47017016,846812.5783616946,6358688.048531861,36229718.54141149,5.69767195133538,5.69767195133538,300.77572807047164,300.77572807047164,8274.340998689306,70.59061251113191,34.29633790080926,-38.6604730814936,0.5099015883219649
50,54,54,54,1,220165006212700,220165021003400,14790700,123191000.0,24696789.56225315,30628.52738619129,5054622.446696281,842437.0744493816,6328059.52114567,36457322.88124059,5.761216808946851,5.761216808946851,306.5369448794185,306.5369448794185,8580.877943568725,70.40585523192392,32.79403034374054,-40.649897853761026,0.4917388311313737
51,55,55,55,1,220165163564300,220165192666900,29102600,123191000.0,24706731.076022044,30628.52738619129,5028369.423222403,838061.5705370685,6297430.993759478,36716412.38896637,5.830379471462407,5.830379471462407,312.3673243508809,312.3673243508809,8893.245267919605,70.19553994288027,31.318417956571142,-42.67716178879824,0.47374402514768904
52,56,56,56,1,220165366061800,220165428209400,62147600,123191000.0,24685303.170183133,30628.52738619129,4975863.376274646,829310.5627124425,6236173.938987096,37006936.728856005,5.905234276559637,5.905234276559637,318.2725586274405,318.2725586274405,9211.517826547046,69.95970750391182,29.87067786845963,-44.74275069429033,0.45593163512772356
53,57,57,57,1,220165520596200,220165552189200,31593000,123191000.0,24632584.607294645,30628.52738619129,4949610.352800768,824935.0588001295,6205545.411600905,37328830.488353446,5.985854604693169,5.985854604693169,324.25841323213365,324.25841323213365,9535.77623977918,69.69841101350468,28.45192556238551,-46.84718779616688,0.4383158036448743
54,58,58,58,1,220165709997900,220165741525400,31527500,123191000.0,24548666.519554257,30628.52738619129,4923357.3293268895,820559.5548878164,6174916.884214713,37682014.90490048,6.072313133742628,6.072313133742628,330.3307263658763,330.3307263658763,9866.106966145057,69.4117144069774,27.06321538964847,-48.99103421028142,0.4209103590414637
55,59,59,59,1,220165958875300,220166006739900,47864600,123191000.0,24433652.179808944,30628.52738619129,4897104.305853011,816184.0509755034,6144288.356828522,38481879.03970325,6.2630327232178145,6.2630327232178145,342.75844106944766,342.75844106944766,10545.360815560733,68.7624266060806,24.379835613533995,-53.39939169298916,0.3867844140366455
56,60,60,60,1,220166084593300,220166132427300,47834000,123191000.0,24287657.52915899,30628.52738619129,4870851.282379133,811808.5470631904,6113659.829442331,38928339.54401174,6.367436303298979,6.367436303298979,349.12587737274663,349.12587737274663,10894.486692933478,68.40001335810916,23.08697230099859,-55.665218637138274,0.37009005725201083
57,61,61,61,1,220166258380100,220166272763200,14383100,123191000.0,23753242.090021033,30628.52738619129,4844598.258905254,807433.0431508773,6083031.302056139,39405650.4597279,6.477962795688443,6.477962795688443,355.60384016843506,355.60384016843506,11250.090533101913,68.01255736236584,21.843330577769635,-56.46,0.351438764275017
58,63,63,63,1,220166428767800,220166447827300,19059500,123191000.0,23283318.400096476,30628.52738619129,4818345.235431376,803057.5392385643,6052402.774669948,40063686.69046678,6.619468033115417,6.619468033115417,362.2233082015505,362.2233082015505,11612.313841303463,67.47839802382741,20.635782404060972,-56.46,0.3320104432843241
59,64,64,64,1,220166584655100,220166630543000,45887900,123191000.0,22803150.338687778,30628.52738619129,4792092.2119574975,798682.0353262513,6021774.247283757,40834076.234049864,6.7810705877040975,6.7810705877040975,369.0043787892546,369.0043787892546,11981.318220092719,66.85303615195116,19.474246324638063,-56.46,0.3133224138668379
60,65,65,65,1,220166725059600,220166819905900,94846300,123191000.0,22313055.997907106,30628.52738619129,4765839.188483619,794306.5314139383,5991145.719897565,41614710.149117105,6.946035381998457,6.946035381998457,375.95041417125304,375.95041417125304,12357.268634263972,66.21935843599199,18.35805928822421,-56.46,0.2953640081475059
61,66,66,66,1,220166914493700,220167006290600,91796900,123191000.0,21813400.743194807,30628.52738619129,4739586.165009741,789931.0275016252,5960517.192511374,42405270.343556315,7.11436088076939,7.11436088076939,383.0647750520224,383.0647750520224,12740.333409315994,65.57762308646222,17.286528637057017,-56.46,0.27812408191060445
