,,,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'3.22',3,22,43025911.45,5.862798554,5.862798554,131.2633963,131.2633963,1494.720696,65.07381915,20,,,
'3.23',3,23,41605873.13,5.693061257,5.693061257,136.9564576,136.9564576,1631.677154,66.22653186,20,,,
'3.24',3,24,41168780.76,5.656960851,5.656960851,142.6134184,142.6134184,1774.290572,66.58134055,20,,,
'3.25',3,25,40728790.98,5.620155481,5.620155481,148.2335739,148.2335739,1922.524146,66.93850121,20,,,
'3.26',3,26,40589317.78,5.648656832,5.648656832,153.8822307,153.8822307,2076.406377,67.05171824,20,,,
'3.27',3,27,40141311.78,5.610222896,5.610222896,159.4924536,159.4924536,2235.89883,67.41538604,20,,,
'3.28',3,28,39698811.4,5.57223128,5.57223128,165.0646849,165.0646849,2400.963515,67.77458467,20,,,
'3.29',3,29,39264498.09,5.535065715,5.535065715,170.5997506,170.5997506,2571.563266,68.12713746,20,,,
'3.30',3,30,38840904.03,5.499095452,5.499095452,176.0988461,176.0988461,2747.662112,68.47098893,20,,,
'3.31',3,31,38430403.36,5.464673705,5.464673705,181.5635198,181.5635198,2929.225632,68.80421187,20,,,
'3.32',3,32,38035206.27,5.432136452,5.432136452,186.9956562,186.9956562,3116.221288,69.12501216,20,,,
'3.33',3,33,37657355.68,5.401801578,5.401801578,192.3974578,192.3974578,3308.618746,69.43173147,20,,,
'3.34',3,34,37298726.31,5.373968349,5.373968349,197.7714261,197.7714261,3506.390172,69.72284801,20,,,
'3.35',3,35,36961025.96,5.34891718,5.34891718,203.1203433,203.1203433,3709.510515,69.99697546,20,,,
'3.36',3,36,36645798.67,5.326909676,5.326909676,208.447253,208.447253,3917.957768,70.25286046,20,,,
'3.37',3,37,36354429.63,5.308188924,5.308188924,213.7554419,213.7554419,4131.71321,70.48937858,20,,,
'3.38',3,38,36088151.33,5.292979989,5.292979989,219.0484219,219.0484219,4350.761632,70.70552935,20,,,
'3.39',3,39,35848051.02,5.281490593,5.281490593,224.3299125,224.3299125,4575.091545,70.90043021,20,,,
'3.40',3,40,35635078.91,5.273911949,5.273911949,229.6038245,229.6038245,4804.695369,71.07330981,20,,,
'3.41',3,41,57206677.13,8.505013049,8.505013049,238.2346693,238.2346693,5034.118835,53.56261648,40,,,
'3.42',3,42,35293689.25,5.271175025,5.271175025,240.1454192,240.1454192,5279.715032,71.35043205,20,,,
'3.43',3,43,35166569.53,5.276325624,5.276325624,245.4217448,245.4217448,5525.136777,71.45362118,20,,,
'3.44',3,44,35069193.01,5.286006998,5.286006998,250.7077518,250.7077518,5775.844529,71.53266634,20,,,
'3.45',3,45,35001964.96,5.300343555,5.300343555,256.0080954,256.0080954,6031.852624,71.58723855,20,,,
'3.46',3,46,34965210.3,5.319449805,5.319449805,261.3275452,261.3275452,6293.18017,71.61707406,20,,,
'3.47',3,47,34959182.7,5.343431508,5.343431508,266.6709767,266.6709767,6559.851146,71.62196695,20,,,
'3.48',3,48,34984073.25,5.372386805,5.372386805,272.0433635,272.0433635,6831.89451,71.6017621,20,,,
'3.49',3,49,35040018.66,5.4064073,5.4064073,277.4497708,277.4497708,7109.34428,71.55634855,20,,,
'3.50',3,50,35127108.82,5.44557908,5.44557908,282.8953499,282.8953499,7392.23963,71.48565332,20,,,
'3.51',3,51,35245393.86,5.489983682,5.489983682,288.3853335,288.3853335,7680.624964,71.38963572,20,,,
'3.52',3,52,35394890.48,5.539698974,5.539698974,293.9250325,293.9250325,7974.549996,71.2682822,20,,,
'3.53',3,53,35575587.68,5.594799966,5.594799966,299.5198325,299.5198325,8274.069829,71.12160168,20,,,
'3.54',3,54,35787451.72,5.65535953,5.65535953,305.175192,305.175192,8579.245021,70.94962155,20,,,
'3.55',3,55,36030430.45,5.721449029,5.721449029,310.896641,310.896641,8890.141662,70.75238415,20,,,
'3.56',3,56,36304456.87,5.793138856,5.793138856,316.6897799,316.6897799,9206.831442,70.52994385,20,,,
'3.57',3,57,36609452.05,5.870498868,5.870498868,322.5602788,322.5602788,9529.391721,70.28236475,20,,,
'3.58',3,58,36945327.21,5.953598718,5.953598718,328.5138775,328.5138775,9857.905598,70.00971889,20,,,
'3.59',3,59,37311985.21,6.042508087,6.042508087,334.5563856,334.5563856,10192.46198,69.71208513,20,,,
'3.60',3,60,37709321.25,6.137296796,6.137296796,340.6936824,340.6936824,10533.15567,69.38954855,20,,,
'3.61',3,61,38041777.92,6.285400912,6.285400912,359.3839651,359.3839651,11257.84334,69.11967764,60,,,
'3.62',3,62,38595569.07,6.34479212,6.34479212,353.2765093,353.2765093,11233.36389,68.67013899,20,,,
'3.63',3,63,39084229.18,6.457638501,6.457638501,359.7341478,359.7341478,11593.09804,68.27347032,20,,,
'3.64',3,64,39745245.1,6.600254919,6.600254919,366.3344027,366.3344027,11959.43244,67.73689223,20,,,
'3.65',3,65,40531074.56,6.765162534,6.765162534,373.0995653,373.0995653,12332.53201,67.09899704,20,,,
'3.66',3,66,41325992.04,6.933289629,6.933289629,380.0328549,380.0328549,12712.56486,66.45372468,20,,,
'3.67',3,67,42129790.23,7.104651134,7.104651134,387.137506,387.137506,13099.70237,65.80124341,20,,,
'3.68',3,68,42942208.94,7.279253319,7.279253319,394.4167593,394.4167593,13494.11913,65.14176446,20,,,
'3.69',3,69,43762934.6,7.457093493,7.457093493,401.8738528,401.8738528,13895.99298,64.47554237,20,,,
'3.70',3,70,44591599.97,7.638159716,7.638159716,409.5120125,409.5120125,14305.50499,63.80287523,20,,,
'3.71',3,71,45427784.03,7.822430531,7.822430531,417.3344431,417.3344431,14722.83944,63.12410482,20,,,
'3.72',3,72,46271012.01,8.009874726,8.009874726,425.3443178,425.3443178,15148.18375,62.43961652,20,,,
'3.73',3,73,47120755.72,8.200451125,8.200451125,433.5447689,433.5447689,15581.72852,61.74983909,20,,,
'3.74',3,74,47976434.16,8.394108428,8.394108428,441.9388774,441.9388774,16023.6674,61.05524417,20,,,
'3.75',3,75,48837414.42,8.590785101,8.590785101,450.5296625,450.5296625,16474.19706,60.3563455,20,,,
'3.76',3,76,49703012.97,8.790409323,8.790409323,459.3200718,459.3200718,16933.51714,59.65369794,20,,,
'3.77',3,77,50572497.36,8.992899007,8.992899007,468.3129708,468.3129708,17401.83011,58.94789607,20,,,
'3.78',3,78,51445088.25,9.198161892,9.198161892,477.5111327,477.5111327,17879.34124,58.23957249,20,,,
'3.79',3,79,52319962.06,9.406095718,9.406095718,486.9172284,486.9172284,18366.25847,57.52939577,20,,,
'3.80',3,80,53196253.87,9.6165885,9.6165885,496.5338169,496.5338169,18862.79228,56.81806799,20,,,
'3.81',3,81,55811327.2,10.25975156,10.25975156,527.256712,527.256712,19904.9653,54.69528846,80,,,
'3.82',3,82,54949447.04,10.04475665,10.04475665,516.4080924,516.4080924,19885.56371,55.39491761,20,,,
'3.83',3,83,55824446.23,10.26216323,10.26216323,526.6702557,526.6702557,20412.23397,54.68463911,20,,,
'3.84',3,84,56697068.55,10.48159243,10.48159243,537.1518481,537.1518481,20949.38582,53.97629003,20,,,
'3.85',3,85,57566305.13,10.70289125,10.70289125,547.8547393,547.8547393,21497.24056,53.27068931,20,,,
'3.86',3,86,58431134.17,10.92590073,10.92590073,558.7806401,558.7806401,22056.0212,52.5686664,20,,,
'3.87',3,87,59290527.23,11.15045704,11.15045704,569.9310971,569.9310971,22625.95229,51.87105614,20,,,
'3.88',3,88,60143455.91,11.37639252,11.37639252,581.3074896,581.3074896,23207.25978,51.17869332,20,,,
'3.89',3,89,60988898.8,11.60353696,11.60353696,592.9110266,592.9110266,23800.17081,50.49240708,20,,,
'3.90',3,90,61825848.7,11.83171886,11.83171886,604.7427455,604.7427455,24404.91355,49.81301499,20,,,
'3.91',3,91,62653319.96,12.06076685,12.06076685,616.8035123,616.8035123,25021.71707,49.14131718,20,,,
'3.92',3,92,63470355.88,12.29051106,12.29051106,629.0940234,629.0940234,25650.81109,48.47809022,20,,,
'3.93',3,93,64412552.83,12.54737775,12.54737775,641.6414011,641.6414011,26292.45249,47.71326409,20,,,
'3.94',3,94,65263020.68,12.78935214,12.78935214,654.4307533,654.4307533,26946.88324,47.02289885,20,,,
'3.95',3,95,66086490.92,13.02892623,13.02892623,667.4596795,667.4596795,27614.34292,46.35444885,20,,,
'3.96',3,96,66883679.94,13.26619839,13.26619839,680.7258779,680.7258779,28295.0688,45.70733256,20,,,
'3.97',3,97,67655298.35,13.50126819,13.50126819,694.2271461,694.2271461,28989.29595,45.08097317,20,,,
'3.98',3,98,68402057.47,13.73423785,13.73423785,707.9613839,707.9613839,29697.25733,44.47479324,20,,,
'3.99',3,99,69124674.24,13.96521321,13.96521321,721.9265971,721.9265971,30419.18393,43.8882108,20,,,
'3.100',3,100,69823874.61,14.1943046,14.1943046,736.1209017,736.1209017,31155.30483,43.32063656,20,,,
'3.101',3,101,71142543.01,14.64474082,14.64474082,781.6124182,781.6124182,32961.04898,42.25021064,100,,,
'3.102',3,102,71154986.65,14.64730235,14.64730235,765.1898315,765.1898315,32671.03719,42.24010954,20,,,
'3.103',3,103,71788408.89,14.87145584,14.87145584,780.0612873,780.0612873,33451.09848,41.72593055,20,,,
'3.104',3,104,72401435.15,15.09421981,15.09421981,795.1555071,795.1555071,34246.25399,41.22830795,20,,,
'3.105',3,105,72994848.1,15.3157317,15.3157317,810.4712388,810.4712388,35056.72522,40.74660641,20,,,
'3.106',3,106,73569438.32,15.53613416,15.53613416,826.007373,826.007373,35882.7326,40.28018417,20,,,
'3.107',3,107,74126001.94,15.75557474,15.75557474,841.7629477,841.7629477,36724.49555,39.82839498,20,,,
'3.108',3,108,74665337.88,15.97420545,15.97420545,857.7371532,857.7371532,37582.2327,39.39059032,20,,,
'3.109',3,109,75188244.94,16.1921823,16.1921823,873.9293355,873.9293355,38456.16203,38.96612176,20,,,
'3.110',3,110,75695518.81,16.40966476,16.40966476,890.3390002,890.3390002,39346.50103,38.55434341,20,,,
'3.111',3,111,76187949.01,16.62681521,16.62681521,906.9658155,906.9658155,40253.46685,38.15461437,20,,,
'3.112',3,112,76666315.9,16.8437984,16.8437984,923.8096139,923.8096139,41177.27646,37.76630119,20,,,
